model,scene,nodeType,methodName,totalTime,execCount
supplychain-planner,性能测试1/3,PlanOrder,calcEnd,25412,13853
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcPurchaseNewSupplies,47128,49576
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcFulfilledDependentDemandQuantity,21978,45612
supplychain-planner,性能测试1/3,ProductInStockingPointInMonth,calcTargetInventoryLevelEnd,10459,23808
supplychain-planner,性能测试1/3,OutputProduct,calcIsExceedSchedule,317,1979
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcProductInStockingPointInPeriods,70854,11904
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcIsPeriodFrozen,38514,41664
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcFulfilledSalesDemandQuantityForN3,2903,5952
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcFulfilledSalesDemandQuantityForN1,2000,5952
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcFulfilledSalesDemandQuantityForN2,2972,5952
supplychain-planner,性能测试1/3,Product,calcMaterialShortageTime,9854,7941
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcInventoryLevelStart,18731,41664
supplychain-planner,性能测试1/3,BusinessKPI,calcSupplyChainUnits,6786,244
supplychain-planner,性能测试1/3,PeriodTask,calcNextUnitPeriod,5335,7912
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUnitOfMeasure,150,195
supplychain-planner,性能测试1/3,Period,calcNextPeriodDefinition,4,7
supplychain-planner,性能测试1/3,ProductRoutingInMonth,calcToPISP,1865,987
supplychain-planner,性能测试1/3,OutputProduct,calcProduct,4288,1979
supplychain-planner,性能测试1/3,Product,calcSalesOrderDemandsForN2,1216,1989
supplychain-planner,性能测试1/3,Product,calcSalesOrderDemandsForN1,1113,1989
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcMonthlyNewSupplyQuantityN1DiffTag,1504,5952
supplychain-planner,性能测试1/3,Product,calcSalesOrderDemandsForN3,1207,1989
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcInnerNewSupplyInfo,16080,41664
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcTargetServiceLevel,6955,5952
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcInventoryCostRate,15913,41664
supplychain-planner,性能测试1/3,ProductRouting,calcValidFrom,14824,1979
supplychain-planner,性能测试1/3,ProductRoutingStep,calcValidTill,3038,1979
supplychain-planner,性能测试1/3,ProductRouting,calcPlanOrderQuantity,4673,3958
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUserMaximumLoadPercentage,82,195
supplychain-planner,性能测试1/3,ProductRoutingInDay,calcPlantId,134201,34545
supplychain-planner,性能测试1/3,Product,calcInsertOrderDemands,1176,1989
supplychain-planner,性能测试1/3,ProductRoutingInMonth,calcIsForProduction,1075,987
supplychain-planner,性能测试1/3,ProductInStockingPointInMonth,calcInventoryLevelEnd,4187,23808
supplychain-planner,性能测试1/3,Period,calcPostponedFulfillmentRatio,4,7
supplychain-planner,性能测试1/3,OutputProduct,calcInputsInSameRouting,2502,4950
supplychain-planner,性能测试1/3,ProductRouting,calcIsSupplierRouting,5584,1979
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcInitTargetInventoryLevelEnd,3091,5952
supplychain-planner,性能测试1/3,ProductRouting,calcBomValidFrom,12500,1979
supplychain-planner,性能测试1/3,OutputProduct,calcProductInStokingPointId,1424,1979
supplychain-planner,性能测试1/3,DependentDemand,calcLeadDuration,2202,3948
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcFulfilledDependentDemandQuantityForN1,1907,5952
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitCapacitiesOnOwner,438,1330
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcFulfilledDependentDemandQuantityForN2,2778,5952
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcFulfilledDependentDemandQuantityForN3,2872,5952
